,OBJECTID,ACT_COMPL,OBSERVAC_U,NIVEL_EDUC,NOMBRE_CEN,SECUND_TIP,ABREVIADO,MATRICULA_2016,PROPIETARIO,ID_DISTRITO,SHAPE
10,11, , ,PRIMARIA,ESCUELA SANTA LUCÍA,ACADÉMICO,ESC. SANTA LUCÍA,MATRICULA,PRIVADO,9,"{'rings': [[[485068.5900999997, 1100001.5486999992], [485068.23309999984, 1100000.703400001], [485069.81630000006, 1100000.0249000005], [485069.2479999997, 1099998.7062999997], [485067.67449999973, 1099999.3805999998], [485063.5398000004, 1099989.5902999993], [485047.8345999997, 1099996.2474000007], [485051.5366000002, 1100004.8028999995], [485054.3343000002, 1100003.5680999998], [485055.8289999999, 1100007.042199999], [485068.5900999997, 1100001.5486999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12, , ,SECUNDARIA,COLEGIO BRITÁNICO DE COSTA RICA,ACADÉMICO,COL. BRITÁNICO CR,MATRICULA,PRIVADO,9,"{'rings': [[[485314.6705, 1100314.1276999991], [485314.33189999964, 1100305.8544999994], [485316.6322999997, 1100305.7013000008], [485317.0987, 1100311.4148999993], [485370.8542999998, 1100307.1005000006], [485370.38790000044, 1100291.2419000007], [485358.84389999975, 1100291.9417000003], [485358.3775000004, 1100298.0051000006], [485349.0087000001, 1100298.8412999995], [485348.81570000015, 1100293.3409000002], [485350.6813000003, 1100293.3409000002], [485354.5295000002, 1100284.9452999998], [485353.3633000003, 1100284.4789000005], [485351.4977000002, 1100282.8463000003], [485348.2326999996, 1100283.7791000009], [485315.1162999999, 1100286.461100001], [485316.4360999996, 1100301.7478999998], [485314.17229999974, 1100301.950099999], [485313.4177000001, 1100283.4926999994], [485309.9282999998, 1100283.8805], [485310.8976999996, 1100297.7409000006], [485279.20270000026, 1100300.2610999998], [485279.68730000034, 1100316.3509], [485272.61170000024, 1100317.1262999997], [485273.1933000004, 1100327.9821000006], [485308.6683, 1100325.4618999995], [485308.67569999956, 1100325.4608999994], [485308.5809000004, 1100327.9253000002], [485301.15869999956, 1100328.4960999992], [485301.5393000003, 1100338.2018999998], [485311.4354999997, 1100337.5359000005], [485311.1501000002, 1100332.1120999996], [485317.7156999996, 1100331.7314999998], [485318.00129999965, 1100338.4875000007], [485335.2242999999, 1100337.3454999998], [485334.1775000002, 1100326.7832999993], [485318.00129999965, 1100328.3059], [485317.8108999999, 1100326.8784999996], [485317.7156999996, 1100326.8784999996], [485339.12229999993, 1100325.3563], [485339.1255000001, 1100325.4513000008], [485338.9353, 1100326.3077000007], [485366.2446999997, 1100324.0239000004], [485365.76889999956, 1100309.8458999991], [485338.75769999996, 1100311.7412999999], [485338.7449000003, 1100311.2730999999], [485317.3350999998, 1100313.5569000002], [485317.2399000004, 1100314.1276999991], [485314.6705, 1100314.1276999991], [485314.6869000001, 1100314.3745000008], [485314.6776999999, 1100314.3153000008], [485314.6705, 1100314.1276999991]], [[485319.66390000004, 1100296.0229000002], [485344.1514999997, 1100293.9239000008], [485344.6091, 1100299.2338999994], [485320.3872999996, 1100301.395300001], [485319.66390000004, 1100296.0229000002]], [[485357.2569000004, 1100211.3581000008], [485358.68510000035, 1100209.4104999993], [485380.60649999976, 1100208.6223000009], [485379.6615000004, 1100196.5808000006], [485380.94629999995, 1100196.6012999993], [485381.1694, 1100201.5077999998], [485395.3312999997, 1100200.5042000003], [485395.10819999967, 1100188.3495000005], [485431.12629999965, 1100191.6948000006], [485431.9068999998, 1100181.2127999999], [485429.0076000001, 1100180.8783], [485429.3421, 1100179.3170999996], [485397.4500000002, 1100176.5293000005], [485394.1046000002, 1100175.7488000002], [485392.43200000003, 1100175.1911999993], [485391.5399000002, 1100175.1911999993], [485390.5362999998, 1100175.1911999993], [485390.6478000004, 1100172.5149000008], [485381.94990000036, 1100173.1840000004], [485382.7304999996, 1100189.0186], [485379.10280000046, 1100189.4605999999], [485379.1098999996, 1100189.5523000006], [485376.2131000003, 1100189.6753000002], [485375.9534999998, 1100193.4405000005], [485363.35929999966, 1100193.700099999], [485362.58029999956, 1100184.7414999995], [485359.9835000001, 1100185.0011], [485359.3343000002, 1100174.2247000001], [485340.11849999987, 1100176.0423000008], [485333.10730000027, 1100177.8600999992], [485332.84750000015, 1100178.509299999], [485331.02990000043, 1100178.8987000007], [485332.32830000017, 1100197.4655000009], [485351.80370000005, 1100196.4266999997], [485347.1297000004, 1100198.1147000007], [485344.40309999976, 1100200.0621000007], [485343.4940999998, 1100199.4131000005], [485338.8201000001, 1100204.2169000003], [485339.5991000002, 1100210.0596999992], [485338.30069999956, 1100213.1756999996], [485335.3145000003, 1100215.9023000002], [485326.6155000003, 1100223.5626999997], [485329.34190000035, 1100226.8084999993], [485356.34810000006, 1100223.043299999], [485355.30929999985, 1100213.9547000006], [485357.2569000004, 1100211.3581000008]], [[485272.1303000003, 1100306.5953000002], [485277.7427000003, 1100301.918299999], [485261.0223000003, 1100280.8715000004], [485230.0368999997, 1100306.2445], [485250.84970000014, 1100331.8512999993], [485275.98890000023, 1100311.6230999995], [485272.1303000003, 1100306.5953000002]], [[485375.4819, 1100280.0633000005], [485375.68369999994, 1100282.7859000005], [485383.4479, 1100282.3825000003], [485381.73369999975, 1100252.3336999994], [485383.7505000001, 1100251.9305000007], [485383.58270000014, 1100243.9615000002], [485370.64190000016, 1100244.9726999998], [485370.9445000002, 1100248.3003000002], [485370.33949999977, 1100248.4011000004], [485371.14609999955, 1100258.8879000004], [485367.81850000005, 1100259.2913000006], [485366.0538999997, 1100234.8893], [485362.12129999977, 1100235.3935000002], [485364.08770000003, 1100263.4255], [485364.4911000002, 1100266.8539000005], [485363.9868999999, 1100269.979699999], [485362.0708999997, 1100271.3915], [485360.1551000001, 1100272.0973000005], [485357.9367000004, 1100272.8030999992], [485358.4408999998, 1100276.4332999997], [485360.1551000001, 1100276.1306999996], [485362.6760999998, 1100275.1223000009], [485365.49930000026, 1100273.6098999996], [485367.31429999974, 1100271.4923], [485368.22190000024, 1100268.8705000002], [485368.1211000001, 1100262.0139000006], [485371.44849999994, 1100261.9131000005], [485372.35610000044, 1100280.1641000006], [485375.4819, 1100280.0633000005]], [[485319.2433000002, 1100198.2991000004], [485320.34130000044, 1100198.2357], [485324.09970000014, 1100196.5887000002], [485322.6004999997, 1100193.1472999994], [485315.1051000003, 1100196.2086999994], [485318.2933, 1100198.1301000006], [485319.2433000002, 1100198.2991000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13, ,HASTA 9 AÑO,UNIDAD PEDAGÓGICA,CENTRO EDUCATIVO SANTA CATALINA DE SENA,ACADÉMICO,CENTR. EDUC. SANTA CATALINA DE SENA,MATRICULA,PRIVADO,9,"{'rings': [[[485379.7748999996, 1099942.0342999995], [485364.9550999999, 1099907.9716999996], [485371.7128999997, 1099900.6262999997], [485381.07749999966, 1099893.2037000004], [485383.41669999994, 1099894.4847], [485390.6486999998, 1099890.6535], [485390.6989000002, 1099881.8209000006], [485387.34049999993, 1099883.4009000007], [485385.66970000044, 1099882.3109000009], [485384.4455000004, 1099882.8006999996], [485384.12710000016, 1099882.0308999997], [485379.6952999998, 1099884.4167], [485380.13609999977, 1099885.3473000005], [485378.8627000004, 1099886.081700001], [485378.76489999983, 1099888.5792999994], [485375.8744999999, 1099890.3632999994], [485378.6392999999, 1099891.8747000005], [485369.9501, 1099898.9613000005], [485363.9020999996, 1099905.5513000004], [485354.01329999976, 1099882.8221000005], [485365.1832999997, 1099877.6401000004], [485365.87409999967, 1099878.3311], [485362.1891000001, 1099883.2250999995], [485371.2862999998, 1099890.134299999], [485381.88049999997, 1099875.2795000002], [485383.8957000002, 1099874.5887000002], [485387.0625, 1099882.0735], [485392.47470000014, 1099879.8857000005], [485389.5314999996, 1099872.0670999996], [485388.80009999964, 1099872.3483000007], [485387.0840999996, 1099867.9320999999], [485385.5652999999, 1099868.4946999997], [485384.5525000002, 1099865.8786999993], [485386.0153000001, 1099865.3160999995], [485384.60890000034, 1099861.6875], [485381.31769999955, 1099863.2908999994], [485381.12069999985, 1099862.8688999992], [485377.2109000003, 1099864.1908999998], [485358.67370000016, 1099861.6031], [485357.7001, 1099873.291099999], [485364.1627000002, 1099874.1293000001], [485364.1627000002, 1099875.2947000004], [485353.4375, 1099880.7492999993], [485346.8431000002, 1099864.7348999996], [485342.4035, 1099866.7079000007], [485344.08490000013, 1099870.6731000002], [485333.6199000003, 1099875.3346999995], [485333.0491000004, 1099874.0026999991], [485322.01329999976, 1099878.4740999993], [485328.1019000001, 1099893.1250999998], [485328.8630999997, 1099892.6494999994], [485330.5736999996, 1099898.0452999994], [485326.45689999964, 1099898.7641000003], [485321.6760999998, 1099900.3439000007], [485317.1202999996, 1099902.1107], [485314.3838999998, 1099895.8735000007], [485308.5115, 1099898.0618999992], [485307.59750000015, 1099895.4026999995], [485313.1375000002, 1099893.1866999995], [485310.4885, 1099886.6961000003], [485306.17729999963, 1099888.6667], [485306.74729999993, 1099890.2971], [485302.2461000001, 1099892.1477000006], [485301.4358999999, 1099889.7069000006], [485297.84470000025, 1099891.3275000006], [485299.24509999994, 1099895.2084999997], [485296.68429999985, 1099896.208900001], [485295.0639000004, 1099892.6176999994], [485290.8627000004, 1099894.4882999994], [485294.8936999999, 1099903.1208999995], [485293.8535000002, 1099903.8410999998], [485295.7834999999, 1099908.2103000004], [485296.8019000003, 1099907.6604999993], [485298.0239000004, 1099910.8377], [485296.9445000002, 1099911.4283000007], [485297.73450000025, 1099913.1538999993], [485296.6797000002, 1099913.6482999995], [485297.2093000002, 1099914.9111000001], [485298.32930000033, 1099914.4833000004], [485298.8183000004, 1099915.8072999995], [485299.9791000001, 1099915.3184999991], [485304.12629999965, 1099924.8373000007], [485320.51130000036, 1099917.8955000006], [485320.1010999996, 1099916.7751000002], [485322.8519000001, 1099915.6846999992], [485321.49149999954, 1099912.6139000002], [485322.1217, 1099912.1636999995], [485319.9411000004, 1099906.6421000008], [485319.3208999997, 1099907.0922999997], [485318.2600999996, 1099904.7007], [485322.15390000027, 1099902.738500001], [485322.0554999998, 1099902.3444999997], [485326.8510999996, 1099901.1291000005], [485331.9653000003, 1099900.6560999993], [485333.5521, 1099904.5713], [485324.94570000004, 1099908.117900001], [485328.2971000001, 1099916.4965000004], [485323.00189999957, 1099918.9094999991], [485334.06149999984, 1099944.3133000005], [485345.6573000001, 1099939.3531], [485344.58490000013, 1099936.8730999995], [485347.82930000033, 1099935.5755000003], [485349.5641000001, 1099939.6183000002], [485333.7263000002, 1099946.1900999993], [485339.55790000036, 1099959.3947], [485355.4483000003, 1099952.770300001], [485355.1501000002, 1099951.9253000002], [485379.7748999996, 1099942.0342999995]], [[485339.4798999997, 1099905.2360999994], [485334.4946999997, 1099893.2434999999], [485336.3372999998, 1099892.5527], [485335.7039000001, 1099890.8253000006], [485350.78890000004, 1099884.4919000007], [485356.5982999997, 1099898.4219000004], [485339.4798999997, 1099905.2360999994]], [[485340.0270999996, 1099926.1487000007], [485343.2695000004, 1099924.9574999996], [485343.9159000004, 1099926.4623000007], [485346.53949999996, 1099932.5709000006], [485343.17729999963, 1099934.0579000004], [485340.0270999996, 1099926.1487000007]], [[485336.0723000001, 1099917.4349000007], [485339.35670000035, 1099916.0943], [485341.9036999997, 1099921.7917], [485338.4855000004, 1099923.3334999997], [485336.0723000001, 1099917.4349000007]], [[485312.4715, 1099913.5503000002], [485308.82749999966, 1099914.9909000006], [485306.9473000001, 1099910.6531000007], [485310.52830000035, 1099909.2326999996], [485312.4989, 1099913.4441], [485312.4715, 1099913.5503000002]], [[485309.0817, 1099906.0929000005], [485305.86149999965, 1099907.5335000008], [485304.4165000003, 1099904.5112999994], [485307.79750000034, 1099903.0709000006], [485309.0817, 1099906.0929000005]], [[485346.20409999974, 1099883.7500999998], [485346.50150000025, 1099882.7886999995], [485345.7270999998, 1099882.9197000004], [485346.2764999997, 1099881.8691000007], [485345.98709999956, 1099880.7839000002], [485348.1573000001, 1099879.9156999998], [485349.17030000035, 1099882.5200999994], [485346.20409999974, 1099883.7500999998]], [[485342.44209999964, 1099885.3417000007], [485338.6079000002, 1099886.9332999997], [485337.8844999997, 1099884.8351000007], [485339.83770000003, 1099883.8947], [485342.44209999964, 1099885.3417000007]], [[485366.7087000003, 1099876.2091000006], [485366.17069999967, 1099874.4341000002], [485368.39389999956, 1099874.5237000007], [485367.10309999995, 1099876.2269000001], [485366.7087000003, 1099876.2091000006]], [[485415.1995000001, 1099893.9170999993], [485414.7390999999, 1099890.1768999994], [485393.97890000045, 1099892.8906999994], [485394.33770000003, 1099895.4843000006], [485393.9458999997, 1099895.5823], [485395.06429999974, 1099907.884299999], [485415.3498999998, 1099906.3238999993], [485414.33210000023, 1099893.9762999993], [485415.1995000001, 1099893.9170999993]], [[485327.1557, 1099952.1524999999], [485322.3145000003, 1099940.9791], [485312.89169999957, 1099945.0603], [485317.8328999998, 1099956.1335000005], [485327.1557, 1099952.1524999999]], [[485387.92310000025, 1099961.1841000002], [485387.0488999998, 1099958.4640999995], [485383.00129999965, 1099959.8564999998], [485383.84329999983, 1099962.6088999994], [485387.92310000025, 1099961.1841000002]], [[485382.6453, 1099952.4415000007], [485381.3825000003, 1099949.3331000004], [485378.2739000004, 1099950.6607000008], [485379.62090000045, 1099953.7272999994], [485382.59190000035, 1099952.4569000006], [485382.6453, 1099952.4415000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14, , ,SECUNDARIA,PROYECTO EDUCATIVO SURI,ACADÉMICO,PROYECTO EDUCATIVO SURI,MATRICULA,PRIVADO,9,"{'rings': [[[485662.8088999996, 1099350.2423999999], [485662.2544999998, 1099345.1263999995], [485620.6936999997, 1099349.2751000002], [485620.6936999997, 1099351.3388], [485619.74120000005, 1099351.8150999993], [485619.32490000036, 1099353.3390999995], [485619.18960000016, 1099355.0870999992], [485621.3962000003, 1099375.7533999998], [485622.2812000001, 1099384.0414000005], [485665.4099000003, 1099381.2879000008], [485664.6679999996, 1099372.4322999995], [485662.8088999996, 1099350.2423999999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15, ,SALÓN MULTIUSO,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486473.0011, 1099598.2832999993], [486472.2081000004, 1099592.8121000007], [486474.35809999984, 1099592.4063000008], [486473.5115, 1099586.0562999994], [486471.25549999997, 1099586.5075000003], [486470.53390000015, 1099581.5540999994], [486462.56489999965, 1099582.9821000006], [486463.9212999996, 1099593.2299000006], [486464.83299999963, 1099599.6030000001], [486473.0011, 1099598.2832999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16, ,CUARTO DE MÁQUINAS DE PISCINA,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486390.4637000002, 1099531.3749000002], [486387.86649999954, 1099532.0533000007], [486350.15529999975, 1099542.6360999998], [486358.6875, 1099574.8106999993], [486392.75769999996, 1099565.3331000004], [486392.7374999998, 1099565.2631], [486396.7786999997, 1099564.0927000009], [486398.96949999966, 1099571.9951000009], [486401.7402999997, 1099571.2448999994], [486390.4637000002, 1099531.3749000002]], [[486392.1177000003, 1099547.3277000003], [486388.0465000002, 1099548.3081], [486387.3362999996, 1099545.7272999994], [486391.39749999996, 1099544.7370999996], [486392.1177000003, 1099547.3277000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17, ,"VESTIDORES, SAUNAS Y ÁREA DEPORTIVA",UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486362.0088999998, 1099521.6201000009], [486356.6573000001, 1099502.134299999], [486358.7181000002, 1099501.3840999994], [486356.1573000001, 1099492.1711], [486354.10670000035, 1099492.8213], [486354.0066999998, 1099492.4613000005], [486353.8167000003, 1099492.5112999994], [486352.98649999965, 1099489.4202999994], [486352.2763, 1099489.6205000002], [486351.24590000045, 1099485.9395000003], [486352.24629999977, 1099483.1484999992], [486354.07689999975, 1099482.5885000005], [486353.47670000046, 1099480.0877], [486370.9118999997, 1099475.1462999992], [486369.6514999997, 1099470.1349], [486365.4902999997, 1099471.4353], [486364.6601, 1099468.6645], [486368.8613, 1099467.7240999993], [486367.3306999998, 1099462.7127], [486349.9757000003, 1099467.3838999998], [486350.5859000003, 1099469.5844999999], [486344.69409999996, 1099471.4449000005], [486343.66390000004, 1099467.8040999994], [486332.7505000001, 1099471.0648999996], [486334.52109999955, 1099477.1166999992], [486335.2812999999, 1099479.6875], [486337.1218999997, 1099485.9892999995], [486340.5928999996, 1099485.038899999], [486347.99509999994, 1099483.0085000005], [486346.96470000036, 1099479.4072999991], [486350.1656999998, 1099478.4671], [486350.8359000003, 1099480.8378999997], [486348.2851, 1099485.4390999991], [486349.63549999986, 1099490.3607], [486342.3233000003, 1099492.4112999998], [486342.6798999999, 1099494.4309], [486340.4310999997, 1099495.0924999993], [486340.69570000004, 1099496.547700001], [486339.50490000006, 1099496.6798999999], [486339.50490000006, 1099497.3414999992], [486334.03089999966, 1099498.5430999994], [486340.1924999999, 1099520.7697], [486343.8217000002, 1099519.9601000007], [486345.7785, 1099526.9655000009], [486350.09530000016, 1099525.8710999992], [486362.3091000002, 1099522.6903000008], [486362.0088999998, 1099521.6201000009]], [[486390.4637000002, 1099531.3749000002], [486372.17229999974, 1099466.7039], [486369.9316999996, 1099467.5340999998], [486377.7237, 1099495.5425000004], [486372.7522999998, 1099496.7526999991], [486374.6127000004, 1099503.3647000007], [486379.5343000004, 1099502.0643000007], [486387.86649999954, 1099532.0533000007], [486390.4637000002, 1099531.3749000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18, ,GIMNASIO,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486363.6372999996, 1099597.1695000008], [486364.0991000002, 1099595.5618999992], [486366.1310999999, 1099596.0527], [486366.8598999996, 1099593.5912999995], [486364.4291000003, 1099592.8111000005], [486363.85890000034, 1099594.3615000006], [486356.35670000035, 1099592.2709], [486357.6070999997, 1099587.9495], [486352.3457000004, 1099586.2791000009], [486354.5462999996, 1099578.5667000003], [486353.96609999985, 1099576.4561], [486358.59750000015, 1099574.8356999997], [486358.6875, 1099574.8106999993], [486350.15529999975, 1099542.6360999998], [486345.7785, 1099526.9655000009], [486343.8217000002, 1099519.9601000007], [486340.1924999999, 1099520.7697], [486296.1294999998, 1099533.2328999992], [486299.45830000006, 1099544.4002999999], [486301.4408999998, 1099543.6861000005], [486343.3733000001, 1099532.2230999991], [486346.46410000045, 1099543.3962999992], [486344.50370000023, 1099544.0464999992], [486346.1341000004, 1099550.3082999997], [486344.57349999994, 1099550.7685000002], [486345.12370000035, 1099552.6191000007], [486303.0513000004, 1099564.2120999992], [486302.4017000003, 1099559.4244999997], [486290.2893000003, 1099561.7536999993], [486292.11789999995, 1099577.9660999998], [486301.26070000045, 1099577.2059000004], [486302.0608999999, 1099577.1459], [486302.0109000001, 1099576.4256999996], [486348.5147000002, 1099563.4723000005], [486346.52410000004, 1099556.1298999991], [486347.7644999996, 1099555.7599], [486351.27550000045, 1099568.4136999995], [486347.32430000044, 1099569.4038999993], [486350.0251000002, 1099578.6966999993], [486346.6939000003, 1099589.549900001], [486346.23390000034, 1099589.5099], [486345.3365000002, 1099592.0672999993], [486363.6372999996, 1099597.1695000008]], [[486280.28110000025, 1099485.2499000002], [486284.1705, 1099483.5831000004], [486284.5963000003, 1099484.7687], [486323.1479000002, 1099467.8138999995], [486329.3995000003, 1099481.4178999998], [486335.2812999999, 1099479.6875], [486334.52109999955, 1099477.1166999992], [486330.94010000024, 1099477.9968999997], [486325.80869999994, 1099466.6435000002], [486326.41889999993, 1099466.3735000007], [486328.3492999999, 1099470.3947], [486336.29169999994, 1099466.8136999998], [486334.50129999965, 1099462.7925000004], [486335.3514999999, 1099462.3422999997], [486330.05989999976, 1099450.4586999994], [486277.07409999985, 1099474.0655000005], [486275.62150000036, 1099474.7115000002], [486280.28110000025, 1099485.2499000002]], [[486342.3233000003, 1099492.4112999998], [486340.5928999996, 1099485.038899999], [486337.1218999997, 1099485.9892999995], [486296.2396999998, 1099497.3522999994], [486295.05649999995, 1099498.6283], [486295.41949999984, 1099499.9831000008], [486291.82830000017, 1099501.0635000002], [486290.1601, 1099501.3101000004], [486293.0705000004, 1099507.9246999994], [486285.8649000004, 1099510.0195000004], [486286.7969000004, 1099511.7252999991], [486334.03089999966, 1099498.5430999994], [486339.50490000006, 1099497.3414999992], [486339.50490000006, 1099496.6798999999], [486340.69570000004, 1099496.547700001], [486340.4310999997, 1099495.0924999993], [486342.6798999999, 1099494.4309], [486342.3233000003, 1099492.4112999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19, ,AULAS SECUNDARIA,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486302.40160000045, 1099559.4244999997], [486302.40110000037, 1099559.4207000006], [486302.6810999997, 1099559.3706999999], [486301.3909, 1099551.7585000005], [486303.49149999954, 1099551.1983000003], [486302.1710999999, 1099544.5763000008], [486301.6908999998, 1099544.7064999994], [486301.4408999998, 1099543.6861000005], [486299.4582000002, 1099544.4002], [486296.1294999998, 1099533.2328999992], [486293.17870000005, 1099525.2105], [486290.6579, 1099520.0291000009], [486292.7084999997, 1099519.0286999997], [486289.81769999955, 1099513.0469000004], [486287.94710000046, 1099513.9573], [486286.7969000004, 1099511.7252999991], [486285.8649000004, 1099510.0194000006], [486281.69350000005, 1099511.2321000006], [486281.0318999998, 1099508.9831000008], [486274.29310000036, 1099512.2467], [486282.96549999993, 1099530.6920999996], [486285.51630000025, 1099537.884299999], [486275.6233000001, 1099541.0951000005], [486278.12409999967, 1099548.1472999994], [486287.8869000003, 1099544.7162999995], [486290.0875000004, 1099551.5183000006], [486290.29750000034, 1099553.1389000006], [486288.98709999956, 1099553.2389000002], [486290.1875, 1099560.8510999996], [486290.2893000003, 1099561.7535999995], [486302.40160000045, 1099559.4244999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,20, ,GIMNASIO,UNIDAD PEDAGÓGICA,ESCUELA DANIEL ODUBER QUIRÓS,ACADÉMICO,ESC. DANIEL ODUBER Q.,MATRICULA,ESTADO,9,"{'rings': [[[484353.71669999976, 1099512.0934999995], [484352.0862999996, 1099490.9772999994], [484345.71449999977, 1099491.4672999997], [484345.36429999955, 1099487.4860999994], [484339.71270000003, 1099487.9762999993], [484339.65270000044, 1099487.2661000006], [484331.7703, 1099487.9562999997], [484331.83029999956, 1099488.6465000007], [484326.11870000046, 1099489.1465000007], [484326.4486999996, 1099492.9576999992], [484319.95689999964, 1099493.4579000007], [484321.5970999999, 1099514.5741000008], [484353.71669999976, 1099512.0934999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
20,21, ,OFICINAS ADMINISTRATIVA,UNIDAD PEDAGÓGICA,ESCUELA DANIEL ODUBER QUIRÓS,ACADÉMICO,ESC. DANIEL ODUBER Q.,MATRICULA,ESTADO,9,"{'rings': [[[484317.3025000002, 1099517.1359], [484316.62569999974, 1099508.5121], [484314.11510000005, 1099508.7223000005], [484313.8649000004, 1099505.611300001], [484311.9442999996, 1099505.761499999], [484311.9042999996, 1099505.2612999994], [484279.76489999983, 1099507.8517000005], [484278.9846999999, 1099500.979699999], [484281.2153000003, 1099500.7896999996], [484280.05510000046, 1099486.945699999], [484249.73610000033, 1099489.4960999992], [484251.10649999976, 1099503.3202999998], [484262.2997000003, 1099502.3798999991], [484263.3699000003, 1099515.3539000005], [484276.2739000004, 1099514.2837000005], [484276.77529999986, 1099520.7903000005], [484317.3025000002, 1099517.1359]], [[484299.4307000004, 1099499.1993000004], [484298.0405000001, 1099484.9750999995], [484285.96690000035, 1099486.1555000003], [484287.3570999997, 1099500.3796999995], [484299.4307000004, 1099499.1993000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,22, ,AULAS,UNIDAD PEDAGÓGICA,ESCUELA DANIEL ODUBER QUIRÓS,ACADÉMICO,ESC. DANIEL ODUBER Q.,MATRICULA,ESTADO,9,"{'rings': [[[484302.7329000002, 1099469.765900001], [484308.79789999966, 1099469.1954999994], [484309.72389999963, 1099479.0134999994], [484351.4263000004, 1099475.0726999994], [484350.0959000001, 1099460.9684999995], [484308.3936999999, 1099464.9092999995], [484302.32650000043, 1099465.3187000006], [484301.28089999966, 1099465.4114999995], [484300.7538999999, 1099458.0988999996], [484291.4609000003, 1099459.0281000007], [484291.8897000002, 1099464.3893], [484295.10649999976, 1099464.1034999993], [484295.2544999998, 1099465.9463], [484272.5175000001, 1099467.9637000002], [484273.7326999996, 1099481.4026999995], [484303.54169999994, 1099478.6147000007], [484302.7329000002, 1099469.765900001]], [[484337.81230000034, 1099459.3177000005], [484336.50210000016, 1099444.7434999999], [484305.8328999998, 1099447.4941000007], [484307.14329999965, 1099462.0684999991], [484337.81230000034, 1099459.3177000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,23, , ,PRIMARIA,ESCUELA FINCA SAN JUAN,ACADÉMICO,ESC. FINCA SAN JUAN,MATRICULA,ESTADO,9,"{'rings': [[[483168.1294, 1100697.0143], [483162.12540000025, 1100684.4368999992], [483153.4996999996, 1100688.6002999991], [483151.1090000002, 1100682.8597], [483159.2728000004, 1100678.4612000007], [483151.3026999999, 1100661.7652000003], [483146.13329999987, 1100650.9362000003], [483144.40029999986, 1100651.3249999993], [483139.69180000015, 1100642.1970000006], [483134.2503000004, 1100631.663899999], [483110.55319999997, 1100643.2171], [483109.74289999995, 1100657.6414], [483109.1447999999, 1100668.3564], [483106.9349999996, 1100669.423800001], [483114.23730000015, 1100682.2468999997], [483139.2474999996, 1100668.4266999997], [483141.26209999993, 1100672.2458999995], [483108.1122000003, 1100690.091], [483107.5519000003, 1100699.9339000005], [483115.0842000004, 1100698.4735000003], [483116.4846000001, 1100701.5143999998], [483147.2598000001, 1100684.9334999993], [483149.8348000003, 1100690.3697999995], [483133.5895999996, 1100698.2135000005], [483139.9698999999, 1100710.8418000005], [483140.52770000044, 1100711.9190999996], [483140.99899999984, 1100711.6188999992], [483145.40199999977, 1100709.4866000004], [483144.8964999998, 1100708.3065000009], [483168.1294, 1100697.0143]], [[483133.6310999999, 1100715.8302999996], [483125.19710000046, 1100699.3638000004], [483112.6934000002, 1100705.5354999993], [483113.0823999997, 1100706.3149999995], [483107.03170000017, 1100709.1865999997], [483114.0667000003, 1100724.7827000003], [483123.13329999987, 1100720.7354000006], [483133.6310999999, 1100715.8302999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
